H 2 3 4 5 6 7 8 9 T J Q K A
2,2 P P P P P P H H H H H H H
3,3 P P P P P P H H H H H H H
4,4 H H H P P H H H H H H H H
6,6 P P P P P H H H H H H H H
7,7 P P P P P P H H H H H H H
8,8 P P P P P P P P P P P P P
9,9 P P P P P S P P S S S S S
A,A P P P P P P P P P P P P P
